index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2555,195.4001,4.6084437,0.42374948,0.0,0,9.5468626,0.0,0.02862959,56.978188,9.6295166,454.2139,-9.233305
2556,195.4003,4.6029654,0.42921695,0.0,0,9.5438633,0.0,0.028744986,56.959362,9.6268167,454.22406,-9.2326174
2557,195.4005,4.6039939,0.42641532,0.0,0,9.540863,0.0,0.029004609,56.926369,9.6243963,454.23422,-9.2322788
2558,195.4007,4.6158056,0.43115905,0.0,0,9.5378628,0.0,0.029200515,56.996613,9.6226358,454.24438,-9.2329979
2559,195.4009,4.6276932,0.43760741,0.0,0,9.5348625,0.0,0.029293662,57.147411,9.619627,454.25455,-9.2337503
2560,195.4011,4.6365657,0.43514076,0.0,0,9.5318623,0.0,0.029478667,57.307911,9.6165209,454.26471,-9.2337742
2561,195.4013,4.6470656,0.43967345,0.0,0,9.528863,0.0,0.029778788,57.43898,9.6110706,454.27487,-9.2337198
2562,195.4015,4.6479869,0.44711334,0.0,0,9.5258627,0.0,0.029909924,57.414143,9.6058359,454.28503,-9.2343941
2563,195.4017,4.6355238,0.44293854,0.0,0,9.5228624,0.0,0.030014876,57.289894,9.6046638,454.2952,-9.2350664
2564,195.4019,4.6322818,0.44668347,0.0,0,9.5198631,0.0,0.030367041,57.217907,9.6026716,454.30536,-9.2344294
2565,195.4021,4.6318445,0.4562149,0.0,0,9.5168629,0.0,0.030571099,57.198338,9.6011267,454.31552,-9.2338371
2566,195.4023,4.6261358,0.45272288,0.0,0,9.5138626,0.0,0.030638631,57.153137,9.5985584,454.32568,-9.2338095
2567,195.4025,4.626389,0.45622298,0.0,0,9.5108624,0.0,0.031055894,57.115856,9.5968809,454.33585,-9.2331724
2568,195.4027,4.641551,0.46577126,0.0,0,9.5078621,0.0,0.031222336,57.228809,9.5923719,454.34598,-9.23314
2569,195.4029,4.6613092,0.4627353,0.0,0,9.5048628,0.0,0.031229053,57.438683,9.5864315,454.35614,-9.233078
2570,195.4031,4.6704597,0.46527699,0.0,0,9.5018625,0.0,0.03172889,57.559666,9.5841417,454.3663,-9.2336197
2571,195.4033,4.670187,0.47444072,0.0,0,9.4988623,0.0,0.03191397,57.549484,9.5807486,454.37646,-9.2348795
2572,195.4035,4.6651936,0.47217274,0.0,0,9.495863,0.0,0.031810295,57.479198,9.5777283,454.38663,-9.2343988
2573,195.4037,4.6543493,0.47421232,0.0,0,9.4928627,0.0,0.032313149,57.371067,9.5750837,454.39679,-9.2339964
2574,195.4039,4.6427298,0.4828425,0.0,0,9.4898624,0.0,0.032565072,57.277309,9.5709562,454.392,-9.2346888
2575,195.4041,4.6364999,0.48096788,0.0,0,9.4868622,0.0,0.032382693,57.155441,9.5665054,454.38724,-9.2345572
2576,195.4043,4.6324425,0.48283231,0.0,0,9.4838629,0.0,0.032848902,57.041264,9.565135,454.38245,-9.2345343
2577,195.4045,4.6445403,0.49097478,0.0,0,9.4808931,0.0,0.033170022,57.159573,9.5632105,454.37766,-9.2345333
2578,195.4047,4.6608925,0.48978862,0.0,0,9.4779596,0.0,0.032983147,57.339825,9.5593634,454.37289,-9.2336693
2579,195.4049,4.673955,0.49135146,0.0,0,9.4750328,0.0,0.033438109,57.514011,9.5550308,454.3681,-9.2332993
2580,195.4051,4.6852899,0.49885663,0.0,0,9.4721069,0.0,0.033851672,57.685719,9.5523415,454.36331,-9.2332525
2581,195.4053,4.6788831,0.49977717,0.0,0,9.4691801,0.0,0.033665136,57.640373,9.5506201,454.35855,-9.2337723
2582,195.4055,4.674118,0.5011822,0.0,0,9.4662542,0.0,0.034068331,57.533016,9.5481672,454.35376,-9.2339344
2583,195.4057,4.66469,0.50673878,0.0,0,9.4633284,0.0,0.034517072,57.410141,9.5454025,454.34897,-9.2344837
2584,195.4059,4.6488466,0.50843632,0.0,0,9.4604015,0.0,0.034339454,57.241096,9.540493,454.34421,-9.2346478
2585,195.4061,4.6485972,0.51054841,0.0,0,9.4574738,0.0,0.034702353,57.247784,9.5385981,454.33942,-9.233737
2586,195.4063,4.6534467,0.51550359,0.0,0,9.4545479,0.0,0.035130996,57.224342,9.5389462,454.33463,-9.2336226
2587,195.4065,4.6732721,0.51745373,0.0,0,9.451622,0.0,0.034908045,57.348385,9.5344734,454.32986,-9.2344856
2588,195.4067,4.6908488,0.51902533,0.0,0,9.4486952,0.0,0.035153963,57.566269,9.5297537,454.32507,-9.2345219
2589,195.4069,4.6968679,0.52252185,0.0,0,9.4457684,0.0,0.035614859,57.654728,9.5262165,454.32028,-9.2338934
2590,195.4071,4.701303,0.52615929,0.0,0,9.4428425,0.0,0.035519425,57.723549,9.523632,454.31552,-9.2338657
2591,195.4073,4.6957469,0.52885693,0.0,0,9.4399166,0.0,0.035778482,57.682228,9.5214558,454.31073,-9.2338219
2592,195.4075,4.6920872,0.53150535,0.0,0,9.4369898,0.0,0.036251202,57.612991,9.5185356,454.30594,-9.2339296
2593,195.4077,4.6918516,0.53644025,0.0,0,9.434063,0.0,0.036215872,57.624866,9.5151892,454.30118,-9.2340155
2594,195.4079,4.6772151,0.53958195,0.0,0,9.4311371,0.0,0.036470283,57.534588,9.5127306,454.29639,-9.2342234
2595,195.4081,4.6730571,0.54005748,0.0,0,9.4282103,0.0,0.036943018,57.417038,9.5101681,454.2916,-9.2346716
2596,195.4083,4.690486,0.54576933,0.0,0,9.4252844,0.0,0.036915146,57.496601,9.5073462,454.28683,-9.2344246
2597,195.4085,4.7069206,0.54979968,0.0,0,9.4223576,0.0,0.03703247,57.679539,9.5016947,454.28204,-9.2338858
2598,195.4087,4.7221541,0.54835957,0.0,0,9.4194317,0.0,0.03740995,57.892834,9.4961519,454.27725,-9.2338161
2599,195.4089,4.7275605,0.5543716,0.0,0,9.4165049,0.0,0.03753088,58.012272,9.4940958,454.27249,-9.2343349
2600,195.4091,4.725163,0.55948275,0.0,0,9.413578,0.0,0.037733067,58.000027,9.4919863,454.2677,-9.2346239
2601,195.4093,4.7211428,0.55676848,0.0,0,9.4106522,0.0,0.038106851,57.926056,9.4905252,454.26291,-9.2345295
2602,195.4095,4.7145114,0.56222886,0.0,0,9.4077263,0.0,0.038253572,57.839806,9.488801,454.25815,-9.2342567
2603,195.4097,4.7104158,0.56884986,0.0,0,9.4047995,0.0,0.038296934,57.729401,9.484746,454.25336,-9.2338333
2604,195.4099,4.70755,0.56626141,0.0,0,9.4018726,0.0,0.038596921,57.684277,9.4827414,454.24857,-9.2343941
2605,195.4101,4.7080874,0.57193643,0.0,0,9.3989468,0.0,0.038889553,57.619492,9.4797754,454.2438,-9.2350531
2606,195.4103,4.7171111,0.58048129,0.0,0,9.3960199,0.0,0.039088614,57.687397,9.4751854,454.23901,-9.2347145
2607,195.4105,4.7240181,0.57686883,0.0,0,9.3930941,0.0,0.039335676,57.845093,9.4727964,454.23422,-9.2347994
2608,195.4107,4.7339864,0.58095407,0.0,0,9.3901682,0.0,0.039618984,57.940689,9.4710112,454.22946,-9.2345982
2609,195.4109,4.7418842,0.59006572,0.0,0,9.3872414,0.0,0.039754312,57.972309,9.4683533,454.22467,-9.2335806
2610,195.4111,4.7409925,0.58619744,0.0,0,9.3843145,0.0,0.03984179,57.951496,9.4637356,454.21988,-9.2334766
2611,195.4113,4.7281384,0.58952022,0.0,0,9.3813887,0.0,0.040207844,57.865784,9.459589,454.21512,-9.2334423
2612,195.4115,4.7134318,0.59819603,0.0,0,9.3784618,0.0,0.040343359,57.762428,9.4548769,454.21033,-9.2332993
2613,195.4117,4.711421,0.59439957,0.0,0,9.375536,0.0,0.040367335,57.70467,9.4513626,454.20554,-9.2335339
2614,195.4119,4.7092257,0.59762859,0.0,0,9.3726091,0.0,0.040835388,57.565002,9.4492569,454.20078,-9.2337389
2615,195.4121,4.7078223,0.60639787,0.0,0,9.3696823,0.0,0.041024219,57.47958,9.4468098,454.19598,-9.2338037
2616,195.4123,4.7148294,0.6029079,0.0,0,9.3667555,0.0,0.040964477,57.566971,9.4451857,454.19119,-9.2340746
2617,195.4125,4.7220678,0.60553688,0.0,0,9.3638306,0.0,0.041428998,57.636532,9.4404917,454.18643,-9.2342424
2618,195.4127,4.7308984,0.61470938,0.0,0,9.3609037,0.0,0.041617874,57.658878,9.433814,454.18164,-9.2334995
2619,195.4129,4.7401347,0.61283469,0.0,0,9.3579769,0.0,0.041539516,57.844673,9.4326239,454.17685,-9.2333679
2620,195.4131,4.7374191,0.61519963,0.0,0,9.3550501,0.0,0.042100735,57.947269,9.429637,454.17209,-9.2340097
2621,195.4133,4.7384138,0.62380511,0.0,0,9.3521242,0.0,0.042327698,57.899441,9.425024,454.1673,-9.2340279
2622,195.4135,4.7352605,0.62215596,0.0,0,9.3491974,0.0,0.042164739,57.866806,9.4225435,454.16251,-9.2339582
2623,195.4137,4.7230635,0.62311971,0.0,0,9.3462715,0.0,0.042621158,57.728516,9.4197159,454.15775,-9.2338724
2624,195.4139,4.7195559,0.63148528,0.0,0,9.3433447,0.0,0.042930003,57.572765,9.4171114,454.15671,-9.2332363
